,original_price,discount_percent,avg_final_price,transactions,units_sold,total_revenue,unique_customers,avg_rating
original_price,1.0,-0.01585672794284321,0.8926708512721004,-0.10610964544785643,-0.10589390043068805,0.3156058802019052,-0.10660022015502314,0.7031320691345416
discount_percent,-0.01585672794284321,1.0,-0.05222319079756208,0.02023689967286031,0.020284637084122807,0.006819832787411941,0.02019361090786501,0.010682396101620598
avg_final_price,0.8926708512721004,-0.05222319079756208,1.0,-0.12493228760681589,-0.1243213888528134,0.3454110010931617,-0.12547363278051452,0.7874042130206282
transactions,-0.10610964544785643,0.02023689967286031,-0.12493228760681589,1.0,0.999828200242748,0.7337349774297802,0.999988708267027,-0.014850522345335371
units_sold,-0.10589390043068805,0.020284637084122807,-0.1243213888528134,0.999828200242748,1.0,0.7339650783370613,0.9998113240173587,-0.01465420255616129
total_revenue,0.3156058802019052,0.006819832787411941,0.3454110010931617,0.7337349774297802,0.7339650783370613,1.0,0.733216149364775,0.31150561199942856
unique_customers,-0.10660022015502314,0.02019361090786501,-0.12547363278051452,0.999988708267027,0.9998113240173587,0.733216149364775,1.0,-0.01510072497418395
avg_rating,0.7031320691345416,0.010682396101620598,0.7874042130206282,-0.014850522345335371,-0.01465420255616129,0.31150561199942856,-0.01510072497418395,1.0
